股票代码,股票名称,市场,分类,类型
300296,利亚德,A股,沪深A股,股票
688660,电气风电,A股,沪深A股,股票
000516,国际医学,A股,沪深A股,股票
300351,永贵电器,A股,沪深A股,股票
605198,德利股份,A股,沪深A股,股票
601888,中国中免,A股,沪深A股,股票
301087,可孚医疗,A股,沪深A股,股票
688022,瀚川智能,A股,沪深A股,股票
002407,多氟多,A股,沪深A股,股票
603866,桃李面包,A股,沪深A股,股票
600213,亚星客车,A股,沪深A股,股票
002244,滨江集团,A股,沪深A股,股票
605080,浙江自然,A股,沪深A股,股票
002202,金风科技,A股,沪深A股,股票
300005,探路者,A股,沪深A股,股票
603776,永安行,A股,沪深A股,股票
300841,康华生物,A股,沪深A股,股票
000799,酒鬼酒,A股,沪深A股,股票
688120,华海清科,A股,沪深A股,股票
300183,东软载波,A股,沪深A股,股票
002807,江阴银行,A股,沪深A股,股票
603486,科沃斯,A股,沪深A股,股票
300286,安科瑞,A股,沪深A股,股票
300426,唐德影视,A股,沪深A股,股票
688261,东微半导,A股,沪深A股,股票
002286,保龄宝,A股,沪深A股,股票
600467,好当家,A股,沪深A股,股票
688508,芯朋微,A股,沪深A股,股票
601636,旗滨集团,A股,沪深A股,股票
002780,三夫户外,A股,沪深A股,股票
688349,三一重能,A股,沪深A股,股票
002043,兔宝宝,A股,沪深A股,股票
300795,米奥会展,A股,沪深A股,股票
605339,南侨食品,A股,沪深A股,股票
600405,动力源,A股,沪深A股,股票
301268,铭利达,A股,沪深A股,股票
301033,迈普医学,A股,沪深A股,股票
002612,朗姿股份,A股,沪深A股,股票
002805,丰元股份,A股,沪深A股,股票
002702,海欣食品,A股,沪深A股,股票
002118,紫鑫药业,A股,沪深A股,股票
301011,华立科技,A股,沪深A股,股票
000519,中兵红箭,A股,沪深A股,股票
688021,奥福环保,A股,沪深A股,股票
300894,火星人,A股,沪深A股,股票
300346,南大光电,A股,沪深A股,股票
002508,老板电器,A股,沪深A股,股票
603917,合力科技,A股,沪深A股,股票
603955,大千生态,A股,沪深A股,股票
300026,红日药业,A股,沪深A股,股票
300169,天晟新材,A股,沪深A股,股票
688303,大全能源,A股,沪深A股,股票
300320,海达股份,A股,沪深A股,股票
688032,禾迈股份,A股,沪深A股,股票
300740,水羊股份,A股,沪深A股,股票
300357,我武生物,A股,沪深A股,股票
603855,华荣股份,A股,沪深A股,股票
002497,雅化集团,A股,沪深A股,股票
002420,毅昌科技,A股,沪深A股,股票
301066,万事利,A股,沪深A股,股票
600132,重庆啤酒,A股,沪深A股,股票
688580,伟思医疗,A股,沪深A股,股票
000860,顺鑫农业,A股,沪深A股,股票
002192,融捷股份,A股,沪深A股,股票
300725,药石科技,A股,沪深A股,股票
300510,金冠股份,A股,沪深A股,股票
603719,良品铺子,A股,沪深A股,股票
001215,千味央厨,A股,沪深A股,股票
600062,华润双鹤,A股,沪深A股,股票
300827,上能电气,A股,沪深A股,股票
300787,海能实业,A股,沪深A股,股票
688690,纳微科技,A股,沪深A股,股票
002820,桂发祥,A股,沪深A股,股票
688153,唯捷创芯-U,A股,沪深A股,股票
603279,景津装备,A股,沪深A股,股票
300209,天泽信息,A股,沪深A股,股票
688045,必易微,A股,沪深A股,股票
002860,星帅尔,A股,沪深A股,股票
605117,德业股份,A股,沪深A股,股票
002372,伟星新材,A股,沪深A股,股票
000040,东旭蓝天,A股,沪深A股,股票
600004,白云机场,A股,沪深A股,股票
688019,安集科技,A股,沪深A股,股票
000631,顺发恒业,A股,沪深A股,股票
600609,金杯汽车,A股,沪深A股,股票
600456,宝钛股份,A股,沪深A股,股票
600885,DR宏发股,A股,沪深A股,股票
603043,广州酒家,A股,沪深A股,股票
002851,麦格米特,A股,沪深A股,股票
603015,弘讯科技,A股,沪深A股,股票
002135,东南网架,A股,沪深A股,股票
600794,保税科技,A股,沪深A股,股票
601689,拓普集团,A股,沪深A股,股票
600749,西藏旅游,A股,沪深A股,股票
603885,吉祥航空,A股,沪深A股,股票
300432,富临精工,A股,沪深A股,股票
003006,百亚股份,A股,沪深A股,股票
688127,蓝特光学,A股,沪深A股,股票
600982,宁波能源,A股,沪深A股,股票
603456,九洲药业,A股,沪深A股,股票
601799,星宇股份,A股,沪深A股,股票
000858,五粮液,A股,沪深A股,股票
002549,凯美特气,A股,沪深A股,股票
600419,天润乳业,A股,沪深A股,股票
600438,通威股份,A股,沪深A股,股票
000806,*ST银河,A股,沪深A股,股票
603713,密尔克卫,A股,沪深A股,股票
000587,*ST金洲,A股,沪深A股,股票
603517,绝味食品,A股,沪深A股,股票
605336,帅丰电器,A股,沪深A股,股票
688696,极米科技,A股,沪深A股,股票
000970,中科三环,A股,沪深A股,股票
000796,ST凯撒,A股,沪深A股,股票
603353,和顺石油,A股,沪深A股,股票
002069,ST獐子岛,A股,沪深A股,股票
600732,爱旭股份,A股,沪深A股,股票
002219,*ST恒康,A股,沪深A股,股票
000972,*ST中基,A股,沪深A股,股票
688103,国力股份,A股,沪深A股,股票
600380,XD健康元,A股,沪深A股,股票
600260,*ST凯乐,A股,沪深A股,股票
301078,孩子王,A股,沪深A股,股票
002028,思源电气,A股,沪深A股,股票
603214,爱婴室,A股,沪深A股,股票
601886,江河集团,A股,沪深A股,股票
601456,国联证券,A股,沪深A股,股票
002427,*ST尤夫,A股,沪深A股,股票
002781,*ST奇信,A股,沪深A股,股票
603018,华设集团,A股,沪深A股,股票
603683,晶华新材,A股,沪深A股,股票
002313,*ST日海,A股,沪深A股,股票
600298,安琪酵母,A股,沪深A股,股票
603603,*ST博天,A股,沪深A股,股票
300565,科信技术,A股,沪深A股,股票
603696,安记食品,A股,沪深A股,股票
002668,ST奥马,A股,沪深A股,股票
002485,*ST雪发,A股,沪深A股,股票
688173,希荻微,A股,沪深A股,股票
002373,千方科技,A股,沪深A股,股票
301155,海力风电,A股,沪深A股,股票
301103,何氏眼科,A股,沪深A股,股票
600136,ST明诚,A股,沪深A股,股票
002445,中南文化,A股,沪深A股,股票
002967,广电计量,A股,沪深A股,股票
300054,鼎龙股份,A股,沪深A股,股票
600477,杭萧钢构,A股,沪深A股,股票
002878,元隆雅图,A股,沪深A股,股票
601599,浙文影业,A股,沪深A股,股票
002271,东方雨虹,A股,沪深A股,股票
001266,宏英智能,A股,沪深A股,股票
301071,力量钻石,A股,沪深A股,股票
605303,园林股份,A股,沪深A股,股票
600071,凤凰光学,A股,沪深A股,股票
300767,震安科技,A股,沪深A股,股票
002052,*ST同洲,A股,沪深A股,股票
300198,纳川股份,A股,沪深A股,股票
300376,易事特,A股,沪深A股,股票
002881,美格智能,A股,沪深A股,股票
600197,伊力特,A股,沪深A股,股票
001219,青岛食品,A股,沪深A股,股票
300269,ST联建,A股,沪深A股,股票
000848,承德露露,A股,沪深A股,股票
002216,三全食品,A股,沪深A股,股票
300250,初灵信息,A股,沪深A股,股票
002550,千红制药,A股,沪深A股,股票
688663,新风光,A股,沪深A股,股票
688066,航天宏图,A股,沪深A股,股票
600616,金枫酒业,A股,沪深A股,股票
000596,古井贡酒,A股,沪深A股,股票
002335,科华数据,A股,沪深A股,股票
000935,四川双马,A股,沪深A股,股票
603697,有友食品,A股,沪深A股,股票
605168,三人行,A股,沪深A股,股票
002273,水晶光电,A股,沪深A股,股票
000729,燕京啤酒,A股,沪深A股,股票
603416,信捷电气,A股,沪深A股,股票
002183,怡亚通,A股,沪深A股,股票
300908,仲景食品,A股,沪深A股,股票
002824,和胜股份,A股,沪深A股,股票
603589,口子窖,A股,沪深A股,股票
605222,起帆电缆,A股,沪深A股,股票
300623,捷捷微电,A股,沪深A股,股票
300577,开润股份,A股,沪深A股,股票
600400,红豆股份,A股,沪深A股,股票
603899,晨光股份,A股,沪深A股,股票
000610,西安旅游,A股,沪深A股,股票
000735,罗牛山,A股,沪深A股,股票
002946,新乳业,A股,沪深A股,股票
603916,苏博特,A股,沪深A股,股票
000532,华金资本,A股,沪深A股,股票
001206,依依股份,A股,沪深A股,股票
603843,正平股份,A股,沪深A股,股票
301258,富士莱,A股,沪深A股,股票
003031,中瓷电子,A股,沪深A股,股票
600750,江中药业,A股,沪深A股,股票
301266,宇邦新材,A股,沪深A股,股票
301076,新瀚新材,A股,沪深A股,股票
688290,景业智能,A股,沪深A股,股票
000568,泸州老窖,A股,沪深A股,股票
002159,三特索道,A股,沪深A股,股票
688639,华恒生物,A股,沪深A股,股票
002056,横店东磁,A股,沪深A股,股票
603288,海天味业,A股,沪深A股,股票
003011,海象新材,A股,沪深A股,股票
600138,中青旅,A股,沪深A股,股票
002991,甘源食品,A股,沪深A股,股票
688072,拓荆科技-U,A股,沪深A股,股票
002640,*ST跨境,A股,沪深A股,股票
603833,欧派家居,A股,沪深A股,股票
000002,万科Ａ,A股,沪深A股,股票
002487,大金重工,A股,沪深A股,股票
603069,海汽集团,A股,沪深A股,股票
600276,恒瑞医药,A股,沪深A股,股票
300093,金刚玻璃,A股,沪深A股,股票
688052,纳芯微,A股,沪深A股,股票
600112,*ST天成,A股,沪深A股,股票
002419,天虹股份,A股,沪深A股,股票
688065,凯赛生物,A股,沪深A股,股票
002655,共达电声,A股,沪深A股,股票
603389,亚振家居,A股,沪深A股,股票
301113,雅艺科技,A股,沪深A股,股票
002006,精功科技,A股,沪深A股,股票
688685,迈信林,A股,沪深A股,股票
600481,双良节能,A股,沪深A股,股票
688131,皓元医药,A股,沪深A股,股票
603876,鼎胜新材,A股,沪深A股,股票
603777,来伊份,A股,沪深A股,股票
002486,嘉麟杰,A股,沪深A股,股票
688133,泰坦科技,A股,沪深A股,股票
000921,海信家电,A股,沪深A股,股票
605567,春雪食品,A股,沪深A股,股票
300776,帝尔激光,A股,沪深A股,股票
601126,四方股份,A股,沪深A股,股票
300266,兴源环境,A股,沪深A股,股票
300627,华测导航,A股,沪深A股,股票
002900,哈三联,A股,沪深A股,股票
600196,复星医药,A股,沪深A股,股票
600487,亨通光电,A股,沪深A股,股票
603505,金石资源,A股,沪深A股,股票
300208,青岛中程,A股,沪深A股,股票
300997,欢乐家,A股,沪深A股,股票
000680,山推股份,A股,沪深A股,股票
300755,华致酒行,A股,沪深A股,股票
000525,ST红太阳,A股,沪深A股,股票
603536,惠发食品,A股,沪深A股,股票
600984,建设机械,A股,沪深A股,股票
600765,中航重机,A股,沪深A股,股票
002735,王子新材,A股,沪深A股,股票
000716,黑芝麻,A股,沪深A股,股票
605338,XD巴比食,A股,沪深A股,股票
688308,欧科亿,A股,沪深A股,股票
000672,上峰水泥,A股,沪深A股,股票
688800,瑞可达,A股,沪深A股,股票
300180,华峰超纤,A股,沪深A股,股票
300915,海融科技,A股,沪深A股,股票
300887,谱尼测试,A股,沪深A股,股票
600754,锦江酒店,A股,沪深A股,股票
688017,DR绿的谐,A股,沪深A股,股票
600305,恒顺醋业,A股,沪深A股,股票
603063,禾望电气,A股,沪深A股,股票
603668,天马科技,A股,沪深A股,股票
300010,豆神教育,A股,沪深A股,股票
600415,小商品城,A股,沪深A股,股票
002468,申通快递,A股,沪深A股,股票
603027,千禾味业,A股,沪深A股,股票
600657,信达地产,A股,沪深A股,股票
603986,兆易创新,A股,沪深A股,股票
601869,长飞光纤,A股,沪深A股,股票
002390,信邦制药,A股,沪深A股,股票
300641,正丹股份,A股,沪深A股,股票
002933,新兴装备,A股,沪深A股,股票
688265,南模生物,A股,沪深A股,股票
600859,王府井,A股,沪深A股,股票
000638,*ST万方,A股,沪深A股,股票
603968,醋化股份,A股,沪深A股,股票
688050,爱博医疗,A股,沪深A股,股票
002343,慈文传媒,A股,沪深A股,股票
301238,瑞泰新材,A股,沪深A股,股票
603099,长白山,A股,沪深A股,股票
000995,*ST皇台,A股,沪深A股,股票
600358,国旅联合,A股,沪深A股,股票
603693,江苏新能,A股,沪深A股,股票
300979,华利集团,A股,沪深A股,股票
300468,四方精创,A股,沪深A股,股票
002036,联创电子,A股,沪深A股,股票
688595,芯海科技,A股,沪深A股,股票
603133,碳元科技,A股,沪深A股,股票
603299,苏盐井神,A股,沪深A股,股票
002801,微光股份,A股,沪深A股,股票
600250,南纺股份,A股,沪深A股,股票
002627,三峡旅游,A股,沪深A股,股票
300763,锦浪科技,A股,沪深A股,股票
300998,宁波方正,A股,沪深A股,股票
688363,华熙生物,A股,沪深A股,股票
688386,泛亚微透,A股,沪深A股,股票
001696,宗申动力,A股,沪深A股,股票
600596,新安股份,A股,沪深A股,股票
600110,诺德股份,A股,沪深A股,股票
002724,海洋王,A股,沪深A股,股票
300910,瑞丰新材,A股,沪深A股,股票
300503,昊志机电,A股,沪深A股,股票
688556,高测股份,A股,沪深A股,股票
600328,中盐化工,A股,沪深A股,股票
002037,保利联合,A股,沪深A股,股票
002332,仙琚制药,A股,沪深A股,股票
300106,西部牧业,A股,沪深A股,股票
601118,海南橡胶,A股,沪深A股,股票
002977,天箭科技,A股,沪深A股,股票
000820,*ST节能,A股,沪深A股,股票
688051,佳华科技,A股,沪深A股,股票
300458,全志科技,A股,沪深A股,股票
002050,三花智控,A股,沪深A股,股票
603755,日辰股份,A股,沪深A股,股票
688516,奥特维,A股,沪深A股,股票
000026,飞亚达,A股,沪深A股,股票
000607,华媒控股,A股,沪深A股,股票
002460,赣锋锂业,A股,沪深A股,股票
300448,浩云科技,A股,沪深A股,股票
600897,厦门空港,A股,沪深A股,股票
003019,宸展光电,A股,沪深A股,股票
600522,中天科技,A股,沪深A股,股票
600383,金地集团,A股,沪深A股,股票
601012,隆基绿能,A股,沪深A股,股票
600753,东方银星,A股,沪深A股,股票
301181,标榜股份,A股,沪深A股,股票
300423,昇辉科技,A股,沪深A股,股票
605366,宏柏新材,A股,沪深A股,股票
603369,今世缘,A股,沪深A股,股票
601021,春秋航空,A股,沪深A股,股票
002978,安宁股份,A股,沪深A股,股票
002910,庄园牧场,A股,沪深A股,股票
301235,华康医疗,A股,沪深A股,股票
300896,爱美客,A股,沪深A股,股票
688099,晶晨股份,A股,沪深A股,股票
301201,诚达药业,A股,沪深A股,股票
603985,恒润股份,A股,沪深A股,股票
002077,大港股份,A股,沪深A股,股票
688107,安路科技-U,A股,沪深A股,股票
603060,国检集团,A股,沪深A股,股票
300068,南都电源,A股,沪深A股,股票
603322,超讯通信,A股,沪深A股,股票
300866,安克创新,A股,沪深A股,股票
002643,万润股份,A股,沪深A股,股票
600211,西藏药业,A股,沪深A股,股票
603003,龙宇燃油,A股,沪深A股,股票
300774,倍杰特,A股,沪深A股,股票
603139,康惠制药,A股,沪深A股,股票
605388,均瑶健康,A股,沪深A股,股票
600549,厦门钨业,A股,沪深A股,股票
300142,沃森生物,A股,沪深A股,股票
002078,太阳纸业,A股,沪深A股,股票
603215,比依股份,A股,沪深A股,股票
002294,信立泰,A股,沪深A股,股票
688279,峰岹科技,A股,沪深A股,股票
300303,聚飞光电,A股,沪深A股,股票
688366,昊海生科,A股,沪深A股,股票
300782,卓胜微,A股,沪深A股,股票
000683,远兴能源,A股,沪深A股,股票
688301,奕瑞科技,A股,沪深A股,股票
688167,炬光科技,A股,沪深A股,股票
688313,仕佳光子,A股,沪深A股,股票
001979,招商蛇口,A股,沪深A股,股票
300094,国联水产,A股,沪深A股,股票
002280,联络互动,A股,沪深A股,股票
002732,燕塘乳业,A股,沪深A股,股票
000408,藏格矿业,A股,沪深A股,股票
688233,神工股份,A股,沪深A股,股票
002472,双环传动,A股,沪深A股,股票
600661,昂立教育,A股,沪深A股,股票
001218,丽臣实业,A股,沪深A股,股票
605277,新亚电子,A股,沪深A股,股票
603218,日月股份,A股,沪深A股,股票
300713,英可瑞,A股,沪深A股,股票
600031,三一重工,A股,沪深A股,股票
603886,元祖股份,A股,沪深A股,股票
600115,中国东航,A股,沪深A股,股票
600189,泉阳泉,A股,沪深A股,股票
300464,星徽股份,A股,沪深A股,股票
301061,匠心家居,A股,沪深A股,股票
002277,友阿股份,A股,沪深A股,股票
000822,山东海化,A股,沪深A股,股票
600223,鲁商发展,A股,沪深A股,股票
