股票代码,股票名称,市场,分类,类型
603018,华设集团,A股,沪深A股,股票
600995,文山电力,A股,沪深A股,股票
300506,名家汇,A股,沪深A股,股票
000411,英特集团,A股,沪深A股,股票
000680,山推股份,A股,沪深A股,股票
600114,东睦股份,A股,沪深A股,股票
688170,德龙激光,A股,沪深A股,股票
300126,锐奇股份,A股,沪深A股,股票
000863,三湘印象,A股,沪深A股,股票
300589,江龙船艇,A股,沪深A股,股票
603773,沃格光电,A股,沪深A股,股票
002131,利欧股份,A股,沪深A股,股票
300369,绿盟科技,A股,沪深A股,股票
601718,际华集团,A股,沪深A股,股票
600389,江山股份,A股,沪深A股,股票
300799,左江科技,A股,沪深A股,股票
688027,国盾量子,A股,沪深A股,股票
002481,双塔食品,A股,沪深A股,股票
605178,时空科技,A股,沪深A股,股票
000756,新华制药,A股,沪深A股,股票
003035,南网能源,A股,沪深A股,股票
300220,金运激光,A股,沪深A股,股票
688080,映翰通,A股,沪深A股,股票
688601,力芯微,A股,沪深A股,股票
000856,冀东装备,A股,沪深A股,股票
688050,爱博医疗,A股,沪深A股,股票
300907,康平科技,A股,沪深A股,股票
002826,易明医药,A股,沪深A股,股票
002317,众生药业,A股,沪深A股,股票
300264,佳创视讯,A股,沪深A股,股票
603085,天成自控,A股,沪深A股,股票
603583,捷昌驱动,A股,沪深A股,股票
002789,建艺集团,A股,沪深A股,股票
603181,皇马科技,A股,沪深A股,股票
300226,上海钢联,A股,沪深A股,股票
002564,天沃科技,A股,沪深A股,股票
002909,集泰股份,A股,沪深A股,股票
002116,中国海诚,A股,沪深A股,股票
000503,国新健康,A股,沪深A股,股票
603466,风语筑,A股,沪深A股,股票
603290,斯达半导,A股,沪深A股,股票
002100,天康生物,A股,沪深A股,股票
600861,北京城乡,A股,沪深A股,股票
300175,朗源股份,A股,沪深A股,股票
300348,长亮科技,A股,沪深A股,股票
301235,华康医疗,A股,沪深A股,股票
300201,*ST海伦,A股,沪深A股,股票
002491,通鼎互联,A股,沪深A股,股票
300013,新宁物流,A股,沪深A股,股票
688228,开普云,A股,沪深A股,股票
300950,德固特,A股,沪深A股,股票
300083,创世纪,A股,沪深A股,股票
002858,力盛体育,A股,沪深A股,股票
300314,戴维医疗,A股,沪深A股,股票
300711,广哈通信,A股,沪深A股,股票
603189,网达软件,A股,沪深A股,股票
688018,乐鑫科技,A股,沪深A股,股票
600363,联创光电,A股,沪深A股,股票
688105,诺唯赞,A股,沪深A股,股票
600864,哈投股份,A股,沪深A股,股票
301087,可孚医疗,A股,沪深A股,股票
300514,友讯达,A股,沪深A股,股票
300976,达瑞电子,A股,沪深A股,股票
002960,青鸟消防,A股,沪深A股,股票
300081,恒信东方,A股,沪深A股,股票
301051,信濠光电,A股,沪深A股,股票
000831,五矿稀土,A股,沪深A股,股票
688215,瑞晟智能,A股,沪深A股,股票
300595,欧普康视,A股,沪深A股,股票
300147,香雪制药,A股,沪深A股,股票
301257,普蕊斯,A股,沪深A股,股票
002544,普天科技,A股,沪深A股,股票
300254,仟源医药,A股,沪深A股,股票
000498,山东路桥,A股,沪深A股,股票
301138,华研精机,A股,沪深A股,股票
603090,宏盛股份,A股,沪深A股,股票
000055,方大集团,A股,沪深A股,股票
300650,太龙股份,A股,沪深A股,股票
301120,新特电气,A股,沪深A股,股票
002568,百润股份,A股,沪深A股,股票
300852,四会富仕,A股,沪深A股,股票
600506,香梨股份,A股,沪深A股,股票
603881,数据港,A股,沪深A股,股票
688286,敏芯股份,A股,沪深A股,股票
300795,米奥会展,A股,沪深A股,股票
605011,杭州热电,A股,沪深A股,股票
603716,塞力医疗,A股,沪深A股,股票
688329,艾隆科技,A股,沪深A股,股票
000525,ST红太阳,A股,沪深A股,股票
002184,海得控制,A股,沪深A股,股票
603529,爱玛科技,A股,沪深A股,股票
300205,天喻信息,A股,沪深A股,股票
600062,华润双鹤,A股,沪深A股,股票
300685,艾德生物,A股,沪深A股,股票
688501,青达环保,A股,沪深A股,股票
002328,新朋股份,A股,沪深A股,股票
002124,天邦食品,A股,沪深A股,股票
002877,智能自控,A股,沪深A股,股票
300504,天邑股份,A股,沪深A股,股票
600070,浙江富润,A股,沪深A股,股票
002735,王子新材,A股,沪深A股,股票
000631,顺发恒业,A股,沪深A股,股票
603703,盛洋科技,A股,沪深A股,股票
605336,DR帅丰电,A股,沪深A股,股票
300743,天地数码,A股,沪深A股,股票
301023,江南奕帆,A股,沪深A股,股票
688159,有方科技,A股,沪深A股,股票
600617,国新能源,A股,沪深A股,股票
603011,合锻智能,A股,沪深A股,股票
300949,奥雅股份,A股,沪深A股,股票
002897,意华股份,A股,沪深A股,股票
688589,力合微,A股,沪深A股,股票
600207,安彩高科,A股,沪深A股,股票
000543,皖能电力,A股,沪深A股,股票
002366,*ST海核,A股,沪深A股,股票
600131,国网信通,A股,沪深A股,股票
600865,百大集团,A股,沪深A股,股票
600250,南纺股份,A股,沪深A股,股票
000821,京山轻机,A股,沪深A股,股票
002963,豪尔赛,A股,沪深A股,股票
300562,乐心医疗,A股,沪深A股,股票
688226,威腾电气,A股,沪深A股,股票
300500,启迪设计,A股,沪深A股,股票
688256,寒武纪-U,A股,沪深A股,股票
002551,尚荣医疗,A股,沪深A股,股票
300486,东杰智能,A股,沪深A股,股票
300397,天和防务,A股,沪深A股,股票
003022,联泓新科,A股,沪深A股,股票
301098,金埔园林,A股,沪深A股,股票
600463,空港股份,A股,沪深A股,股票
002719,麦趣尔,A股,沪深A股,股票
002383,合众思壮,A股,沪深A股,股票
002591,恒大高新,A股,沪深A股,股票
688628,优利德,A股,沪深A股,股票
300985,致远新能,A股,沪深A股,股票
002593,日上集团,A股,沪深A股,股票
300084,海默科技,A股,沪深A股,股票
300943,春晖智控,A股,沪深A股,股票
301183,东田微,A股,沪深A股,股票
002387,维信诺,A股,沪深A股,股票
600579,克劳斯,A股,沪深A股,股票
002835,同为股份,A股,沪深A股,股票
688367,工大高科,A股,沪深A股,股票
688125,安达智能,A股,沪深A股,股票
600973,宝胜股份,A股,沪深A股,股票
600773,西藏城投,A股,沪深A股,股票
603893,瑞芯微,A股,沪深A股,股票
300718,长盛轴承,A股,沪深A股,股票
300232,洲明科技,A股,沪深A股,股票
300386,飞天诚信,A股,沪深A股,股票
603685,XD晨丰科,A股,沪深A股,股票
002166,莱茵生物,A股,沪深A股,股票
601231,环旭电子,A股,沪深A股,股票
002337,赛象科技,A股,沪深A股,股票
688099,晶晨股份,A股,沪深A股,股票
688076,诺泰生物,A股,沪深A股,股票
603439,贵州三力,A股,沪深A股,股票
300938,信测标准,A股,沪深A股,股票
300791,仙乐健康,A股,沪深A股,股票
688129,东来技术,A股,沪深A股,股票
688360,德马科技,A股,沪深A股,股票
601996,丰林集团,A股,沪深A股,股票
603960,克来机电,A股,沪深A股,股票
301089,拓新药业,A股,沪深A股,股票
688108,赛诺医疗,A股,沪深A股,股票
600080,金花股份,A股,沪深A股,股票
002427,*ST尤夫,A股,沪深A股,股票
000788,北大医药,A股,沪深A股,股票
603168,莎普爱思,A股,沪深A股,股票
300619,金银河,A股,沪深A股,股票
000790,华神科技,A股,沪深A股,股票
301013,利和兴,A股,沪深A股,股票
600734,ST实达,A股,沪深A股,股票
605499,东鹏饮料,A股,沪深A股,股票
301125,腾亚精工,A股,沪深A股,股票
000548,湖南投资,A股,沪深A股,股票
002633,申科股份,A股,沪深A股,股票
600293,三峡新材,A股,沪深A股,股票
002611,东方精工,A股,沪深A股,股票
300267,尔康制药,A股,沪深A股,股票
603068,博通集成,A股,沪深A股,股票
000833,粤桂股份,A股,沪深A股,股票
300277,海联讯,A股,沪深A股,股票
300255,常山药业,A股,沪深A股,股票
300458,全志科技,A股,沪深A股,股票
301010,晶雪节能,A股,沪深A股,股票
002062,宏润建设,A股,沪深A股,股票
600886,国投电力,A股,沪深A股,股票
003004,声迅股份,A股,沪深A股,股票
002193,如意集团,A股,沪深A股,股票
300570,太辰光,A股,沪深A股,股票
600416,湘电股份,A股,沪深A股,股票
688521,芯原股份-U,A股,沪深A股,股票
002621,美吉姆,A股,沪深A股,股票
301078,孩子王,A股,沪深A股,股票
000908,景峰医药,A股,沪深A股,股票
002182,云海金属,A股,沪深A股,股票
600561,江西长运,A股,沪深A股,股票
300049,福瑞股份,A股,沪深A股,股票
600982,宁波能源,A股,沪深A股,股票
002403,爱仕达,A股,沪深A股,股票
300634,彩讯股份,A股,沪深A股,股票
002982,湘佳股份,A股,沪深A股,股票
002767,先锋电子,A股,沪深A股,股票
300180,华峰超纤,A股,沪深A股,股票
300716,国立科技,A股,沪深A股,股票
688086,*ST紫晶,A股,沪深A股,股票
002268,卫士通,A股,沪深A股,股票
300793,佳禾智能,A股,沪深A股,股票
300565,科信技术,A股,沪深A股,股票
002566,益盛药业,A股,沪深A股,股票
600498,烽火通信,A股,沪深A股,股票
002296,辉煌科技,A股,沪深A股,股票
603171,税友股份,A股,沪深A股,股票
300088,长信科技,A股,沪深A股,股票
688788,科思科技,A股,沪深A股,股票
600532,*ST未来,A股,沪深A股,股票
300183,东软载波,A股,沪深A股,股票
300150,世纪瑞尔,A股,沪深A股,股票
002689,远大智能,A股,沪深A股,股票
300658,延江股份,A股,沪深A股,股票
688396,华润微,A股,沪深A股,股票
